Код;Название;Мин. возраст;Макс. возраст;Цена;Кол-во;Дата поступления;Поставщик
T001;Конструктор LEGO;7;12;2500.0;15;2025-01-15;ToyWorld
T002;Кукла Барби;3;8;1200.0;25;2025-02-20;Mattel
T003;Робот-трансформер;8;14;3500.0;10;2025-01-10;Hasbro
T004;Мягкая игрушка;0;5;800.0;30;2025-03-05;ToyWorld
T005;Настольная игра;10;15;1800.0;20;2025-02-20;GameFactory
T006;Машинка Hot Wheels;5;10;450.0;50;2025-01-10;Mattel
T007;Пазл 1000 элементов;12;99;950.0;18;2025-03-01;Ravensburger
T008;Детский велосипед;4;8;8500.0;5;2025-02-15;SportKids
T009;Электронная игра;8;14;4200.0;12;2025-01-15;GameFactory
T010;Набор для творчества;6;12;1500.0;22;2025-03-05;ArtKids
